time	V(triangle)
2.522687314311791e-003	1.276965e+000
2.522801854600295e-003	1.276897e+000
2.523016301595833e-003	1.276666e+000
2.523241286211515e-003	1.275903e+000
2.523383706565354e-003	1.274911e+000
2.523471992270066e-003	1.274362e+000
2.523664816325134e-003	1.273635e+000
2.523801190461236e-003	1.273094e+000
2.523925526723562e-003	1.272576e+000
2.524121577181415e-003	1.271762e+000
2.524513678097119e-003	1.270052e+000
2.525000000000001e-003	1.267844e+000
2.525002583674827e-003	1.267298e+000
2.525007751024480e-003	1.266249e+000
2.525018085723784e-003	1.264451e+000
2.525028470158439e-003	1.263238e+000
2.525044598897647e-003	1.262299e+000
2.525054997730637e-003	1.262019e+000
2.525068602295398e-003	1.261748e+000
2.525083373255332e-003	1.261447e+000
2.525103686657577e-003	1.261235e+000
2.525126385611911e-003	1.261318e+000
2.525151420245553e-003	1.261592e+000
2.525183069655095e-003	1.261953e+000
2.525226010740948e-003	1.262341e+000
2.525296401872370e-003	1.262641e+000
2.525370088160693e-003	1.262557e+000
2.525448311597074e-003	1.262215e+000
2.525547889859515e-003	1.261716e+000
2.525705471467623e-003	1.260998e+000
2.831687499997564e-003	-4.100918e-002
2.837000000000001e-003	-6.361375e-002
2.837025319203004e-003	-6.642280e-002
2.837075957609011e-003	-6.981632e-002
2.837099304872564e-003	-7.029741e-002
2.837116913543148e-003	-7.026687e-002
2.837141709161514e-003	-7.021429e-002
2.837169763851325e-003	-6.997698e-002
2.837199618358275e-003	-6.962895e-002
2.837237696587579e-003	-6.930797e-002
2.837277394567078e-003	-6.915040e-002
2.837344654242291e-003	-6.919236e-002
2.837458210268901e-003	-6.966367e-002
2.837671752247998e-003	-7.073544e-002
2.837893887229149e-003	-7.170749e-002
2.838160241452449e-003	-7.287731e-002
2.838450250766933e-003	-7.424855e-002
2.839030269395899e-003	-7.648750e-002
2.839242887235740e-003	-7.663444e-002
2.839392330749464e-003	-7.663058e-002
2.839522276795341e-003	-7.673119e-002
2.839661493787450e-003	-7.672051e-002
2.839904335661737e-003	-7.651216e-002
2.840298177407470e-003	-7.527009e-002
2.840482275136204e-003	-7.409102e-002
2.840585924932472e-003	-7.359925e-002
2.840675953314791e-003	-7.336927e-002
2.840971316772448e-003	-7.218115e-002
2.841197020768130e-003	-7.122725e-002
2.841548592008634e-003	-6.969504e-002
2.842000000000001e-003	-6.756482e-002
2.842002486498168e-003	-6.702895e-002
2.842007459494500e-003	-6.603672e-002
2.842017405487165e-003	-6.438890e-002
2.842031822352370e-003	-6.279953e-002
2.842046796673478e-003	-6.199047e-002
2.842057818038628e-003	-6.172748e-002
2.842073051961712e-003	-6.142677e-002
2.842088834633296e-003	-6.114722e-002
2.842110682116383e-003	-6.102028e-002
2.842134314287309e-003	-6.118159e-002
2.842160288454495e-003	-6.148525e-002
2.842192149662068e-003	-6.183025e-002
2.842252536167917e-003	-6.227535e-002
2.842333388820241e-003	-6.241674e-002
2.842415540685777e-003	-6.216247e-002
2.842617998804435e-003	-6.116894e-002
2.843068851245533e-003	-5.924579e-002
3.143222668553556e-003	1.217968e+000
3.145000000000000e-003	1.225536e+000
3.145008192769980e-003	1.227029e+000
3.145024578309940e-003	1.229407e+000
3.145042364991619e-003	1.230927e+000
3.145059188222046e-003	1.231523e+000
3.145072815212877e-003	1.231784e+000
3.145089687048656e-003	1.232087e+000
3.145111049492758e-003	1.232279e+000
3.145134169652408e-003	1.232180e+000
3.145159543763317e-003	1.231914e+000
3.145191416499125e-003	1.231588e+000
3.145237638956518e-003	1.231243e+000
3.145312574588499e-003	1.231049e+000
3.145389965823125e-003	1.231233e+000
3.145471301506289e-003	1.231642e+000
3.145574570660299e-003	1.232183e+000
3.145951521672723e-003	1.233876e+000
3.146217735605694e-003	1.235066e+000
3.146750163471636e-003	1.237606e+000
3.147104545365162e-003	1.238638e+000
3.147294879231240e-003	1.238444e+000
3.147392853412669e-003	1.238449e+000
3.147476918739126e-003	1.238615e+000
3.147568085294129e-003	1.238667e+000
3.147692129363741e-003	1.238643e+000
3.147898173857845e-003	1.238510e+000
3.148132755045914e-003	1.238100e+000
3.148300154934324e-003	1.237269e+000
3.148474930669314e-003	1.236125e+000
3.148603577804629e-003	1.235532e+000
3.148888512582297e-003	1.234443e+000
3.149123484901270e-003	1.233460e+000
3.149513215233659e-003	1.231811e+000
3.149707324101561e-003	1.230922e+000
3.150000000000000e-003	1.229544e+000
3.150001856497374e-003	1.229153e+000
3.150005569492125e-003	1.228381e+000
3.150012995481625e-003	1.226996e+000
3.150025520658951e-003	1.225238e+000
3.150037847076707e-003	1.224249e+000
3.150049990524957e-003	1.223831e+000
3.150062374986155e-003	1.223577e+000
3.150076812545944e-003	1.223281e+000
3.150099982818557e-003	1.222966e+000
3.150123028938894e-003	1.222992e+000
3.150157246156832e-003	1.223359e+000
3.150188498835483e-003	1.223715e+000
3.150229833327420e-003	1.224064e+000
3.150312502311292e-003	1.224343e+000
3.150388114072335e-003	1.224203e+000
3.150465997628037e-003	1.223832e+000
3.150564683830589e-003	1.223340e+000
3.150760161066321e-003	1.222468e+000
3.457000000000000e-003	-8.063523e-002
3.462000000000000e-003	-1.019141e-001
3.462023981082507e-003	-1.046634e-001
3.462071943247521e-003	-1.080293e-001
3.462095177418014e-003	-1.085594e-001
3.462112299277552e-003	-1.085561e-001
3.462136745558286e-003	-1.085363e-001
3.462163664018240e-003	-1.083324e-001
3.462192785708034e-003	-1.079875e-001
3.462227635465345e-003	-1.076659e-001
