time	V(vin)	V(vout)
1.612207031249999e-003	-9.186198e-001	-2.936108e-001
1.617089843749999e-003	-8.860677e-001	-3.444820e-001
1.621972656249999e-003	-8.535156e-001	-3.944989e-001
1.626855468749999e-003	-8.209636e-001	-4.433388e-001
1.631738281249999e-003	-7.884114e-001	-4.907221e-001
1.636621093749999e-003	-7.558594e-001	-5.364088e-001
1.641503906249999e-003	-7.233073e-001	-5.801935e-001
1.646386718749998e-003	-6.907552e-001	-6.219032e-001
1.651269531249998e-003	-6.582031e-001	-6.613929e-001
1.656152343749998e-003	-6.256511e-001	-6.985438e-001
1.661035156249998e-003	-5.930989e-001	-7.332596e-001
1.665917968749998e-003	-5.605469e-001	-7.654650e-001
1.670800781249998e-003	-5.279948e-001	-7.951028e-001
1.675683593749998e-003	-4.954427e-001	-8.221323e-001
1.685449218749998e-003	-4.303385e-001	-8.682750e-001
1.695214843749997e-003	-3.652344e-001	-9.038297e-001
1.704980468749997e-003	-3.001302e-001	-9.288943e-001
1.714746093749997e-003	-2.350260e-001	-9.436905e-001
1.719628906249997e-003	-2.024740e-001	-9.473331e-001
1.724511718749997e-003	-1.699219e-001	-9.485320e-001
1.729394531249997e-003	-1.373698e-001	-9.473368e-001
1.734277343749997e-003	-1.048177e-001	-9.437999e-001
1.739160156249997e-003	-7.226563e-002	-9.379759e-001
1.744042968749996e-003	-3.971354e-002	-9.299216e-001
1.753808593749996e-003	2.539063e-002	-9.073550e-001
1.763574218749996e-003	9.049479e-002	-8.765744e-001
1.773339843749996e-003	1.555990e-001	-8.380610e-001
1.783105468749996e-003	2.207031e-001	-7.922943e-001
1.792871093749995e-003	2.858073e-001	-7.397456e-001
1.797753906249995e-003	3.183594e-001	-7.110720e-001
1.802636718749995e-003	3.509115e-001	-6.808738e-001
1.807519531249995e-003	3.834635e-001	-6.492057e-001
1.812402343749995e-003	4.160156e-001	-6.161214e-001
1.817285156249995e-003	4.485677e-001	-5.816733e-001
1.822167968749995e-003	4.811198e-001	-5.459125e-001
1.827050781249995e-003	5.136719e-001	-5.088887e-001
1.831933593749995e-003	5.462239e-001	-4.706506e-001
1.836816406249994e-003	5.787761e-001	-4.312451e-001
1.841699218749994e-003	6.113281e-001	-3.907180e-001
1.846582031249994e-003	6.438802e-001	-3.491137e-001
1.851464843749994e-003	6.764323e-001	-3.064752e-001
1.861230468749994e-003	7.415364e-001	-2.182610e-001
1.866113281249994e-003	7.740886e-001	-1.727644e-001
1.870996093749994e-003	8.066406e-001	-1.263922e-001
