time	V(iterative)	V(recursive)
3.337556066100876e-002	-7.691986e-002	-8.432832e-002
3.342438878600876e-002	-6.489694e-002	-8.081973e-002
3.347321691100876e-002	-5.204377e-002	-7.594924e-002
3.352204503600875e-002	-3.850378e-002	-6.984004e-002
3.357087316100875e-002	-2.443365e-002	-6.263100e-002
3.361970128600875e-002	-1.000104e-002	-5.447457e-002
3.366852941100874e-002	4.617869e-003	-4.553433e-002
3.371735753600874e-002	1.924089e-002	-3.598249e-002
3.376618566100874e-002	3.368257e-002	-2.599722e-002
3.381501378600874e-002	4.775689e-002	-1.575994e-002
3.386384191100873e-002	6.128005e-002	-5.452540e-003
3.391267003600873e-002	7.407320e-002	4.745351e-003
3.396149816100873e-002	8.596517e-002	1.465909e-002
3.401032628600872e-002	9.679501e-002	2.412161e-002
3.405915441100872e-002	1.064145e-001	3.297593e-002
3.410798253600872e-002	1.146902e-001	4.107747e-002
3.415681066100872e-002	1.215060e-001	4.829613e-002
3.420563878600871e-002	1.267644e-001	5.451823e-002
3.425446691100871e-002	1.303884e-001	5.964810e-002
3.430329503600871e-002	1.323225e-001	6.360944e-002
3.435212316100871e-002	1.325341e-001	6.634632e-002
3.440095128600870e-002	1.310135e-001	6.782395e-002
3.444977941100870e-002	1.277747e-001	6.802904e-002
3.449860753600870e-002	1.228550e-001	6.696984e-002
3.454743566100869e-002	1.163148e-001	6.467590e-002
3.459626378600869e-002	1.082367e-001	6.119741e-002
3.464509191100869e-002	9.872463e-002	5.660431e-002
3.469392003600869e-002	8.790228e-002	5.098503e-002
3.474274816100868e-002	7.591154e-002	4.444496e-002
3.479157628600868e-002	6.291052e-002	3.710472e-002
3.484040441100868e-002	4.907138e-002	2.909806e-002
3.488923253600867e-002	3.457798e-002	2.056973e-002
3.493806066100867e-002	1.962328e-002	1.167301e-002
3.498688878600867e-002	4.406696e-003	2.567243e-003
3.503571691100867e-002	-1.086871e-002	-6.584818e-003
3.508454503600866e-002	-2.599904e-002	-1.561964e-002
3.513337316100866e-002	-4.078245e-002	-2.437562e-002
3.518220128600866e-002	-5.502191e-002	-3.269572e-002
3.523102941100866e-002	-6.852800e-002	-4.043004e-002
3.527985753600865e-002	-8.112150e-002	-4.743831e-002
3.532868566100865e-002	-9.263593e-002	-5.359218e-002
3.537751378600865e-002	-1.029198e-001	-5.877738e-002
3.542634191100864e-002	-1.118387e-001	-6.289566e-002
3.547517003600864e-002	-1.192771e-001	-6.586638e-002
3.552399816100864e-002	-1.251400e-001	-6.762803e-002
3.557282628600864e-002	-1.294350e-001	-6.819957e-002
3.561242835679816e-002	-1.316313e-001	-6.769924e-002
3.565782603897941e-002	-1.326488e-001	-6.601949e-002
3.570665416397940e-002	-1.321226e-001	-6.304053e-002
3.575548228897940e-002	-1.299080e-001	-5.886722e-002
3.580431041397940e-002	-1.260113e-001	-5.353682e-002
3.585313853897940e-002	-1.204913e-001	-4.712906e-002
3.590196666397939e-002	-1.134285e-001	-3.974287e-002
3.595079478897939e-002	-1.049237e-001	-3.149489e-002
3.599962291397939e-002	-9.509587e-002	-2.251788e-002
3.604845103897938e-002	-8.408107e-002	-1.295876e-002
3.609727916397938e-002	-7.202976e-002	-2.976438e-003
3.614610728897938e-002	-5.910474e-002	7.260500e-003
3.619493541397938e-002	-4.547863e-002	1.757633e-002
3.624376353897937e-002	-3.133127e-002	2.779081e-002
3.629259166397937e-002	-1.684702e-002	3.772189e-002
3.634141978897937e-002	-2.211984e-003	4.718850e-002
3.639024791397937e-002	1.238871e-002	5.601325e-002
3.643907603897936e-002	2.677371e-002	6.402521e-002
3.648790416397936e-002	4.076803e-002	7.106249e-002
3.653673228897936e-002	5.420568e-002	7.697480e-002
3.658556041397935e-002	6.693199e-002	8.162577e-002
3.663438853897935e-002	7.880589e-002	8.489513e-002
3.668321666397935e-002	8.970190e-002	8.668063e-002
3.673204478897935e-002	9.951184e-002	8.689970e-002
3.678087291397934e-002	1.081464e-001	8.549088e-002
3.682970103897934e-002	1.155971e-001	8.249366e-002
3.686941844903034e-002	1.206994e-001	7.880454e-002
3.691042532591594e-002	1.249561e-001	7.370643e-002
3.695925345091594e-002	1.288122e-001	6.612305e-002
3.700808157591594e-002	1.314038e-001	5.699299e-002
3.705690970091594e-002	1.327074e-001	4.631774e-002
3.710573782591593e-002	1.327736e-001	3.418787e-002
3.715456595091593e-002	1.316723e-001	2.071481e-002
3.720339407591593e-002	1.294919e-001	6.029486e-003
3.725222220091592e-002	1.263372e-001	-9.719445e-003
3.730105032591592e-002	1.223284e-001	-2.636758e-002
3.734987845091592e-002	1.175980e-001	-4.373698e-002
3.739870657591592e-002	1.122896e-001	-6.163859e-002
3.744753470091591e-002	1.065545e-001	-7.987487e-002
3.749636282591591e-002	1.005500e-001	-9.824241e-002
3.754519095091591e-002	9.443630e-002	-1.165348e-001
3.759401907591591e-002	8.837384e-002	-1.345456e-001
3.764284720091590e-002	8.252083e-002	-1.520707e-001
3.769167532591590e-002	7.703047e-002	-1.689119e-001
3.774050345091590e-002	7.204846e-002	-1.848790e-001
3.778933157591589e-002	6.771050e-002	-1.997925e-001
3.783815970091589e-002	6.414007e-002	-2.134864e-001
3.788698782591589e-002	6.144627e-002	-2.258102e-001
3.793581595091589e-002	5.972198e-002	-2.366309e-001
3.798464407591588e-002	5.904222e-002	-2.458349e-001
3.803347220091588e-002	5.946285e-002	-2.533293e-001
3.808230032591588e-002	6.097522e-002	-2.591141e-001
3.812365079294161e-002	6.314125e-002	-2.626095e-001
3.816199852311358e-002	6.596858e-002	-2.645309e-001
3.821082664811358e-002	7.059090e-002	-2.652913e-001
3.825965477311358e-002	7.623891e-002	-2.643098e-001
3.830848289811357e-002	8.291135e-002	-2.615238e-001
3.835731102311357e-002	9.052570e-002	-2.569930e-001
3.840613914811357e-002	9.898050e-002	-2.507988e-001
3.845496727311357e-002	1.081568e-001	-2.430426e-001
3.850379539811356e-002	1.179198e-001	-2.338442e-001
3.855262352311356e-002	1.281209e-001	-2.233403e-001
3.860145164811356e-002	1.385996e-001	-2.116820e-001
3.865027977311356e-002	1.491864e-001	-1.990326e-001
3.869910789811355e-002	1.597047e-001	-1.855652e-001
3.874793602311355e-002	1.699739e-001	-1.714598e-001
3.879676414811355e-002	1.798118e-001	-1.569011e-001
3.884559227311354e-002	1.890376e-001	-1.420751e-001
3.889442039811354e-002	1.974745e-001	-1.271671e-001
3.894324852311354e-002	2.049527e-001	-1.123580e-001
3.899207664811354e-002	2.113114e-001	-9.782270e-002
3.904090477311353e-002	2.164021e-001	-8.372673e-002
3.908973289811353e-002	2.200902e-001	-7.022431e-002
3.913856102311353e-002	2.222578e-001	-5.745597e-002
3.918738914811352e-002	2.228051e-001	-4.554663e-002
3.923621727311352e-002	2.216522e-001	-3.460386e-002
3.928504539811352e-002	2.187405e-001	-2.471643e-002
3.933387352311352e-002	2.140943e-001	-1.591367e-002
3.937621230917039e-002	2.086340e-001	-9.205764e-003
3.941447402430855e-002	2.024108e-001	-3.999981e-003
3.946330214930855e-002	1.928491e-001	1.542908e-003
3.951213027430855e-002	1.816556e-001	5.955380e-003
3.956095839930855e-002	1.688054e-001	9.201915e-003
3.960978652430854e-002	1.543927e-001	1.133275e-002
3.965861464930854e-002	1.385325e-001	1.241751e-002
3.970744277430854e-002	1.213594e-001	1.254386e-002
3.975627089930853e-002	1.030257e-001	1.181595e-002
3.980509902430853e-002	8.369924e-002	1.035255e-002
3.985392714930853e-002	6.356143e-002	8.284970e-003
3.990275527430853e-002	4.280463e-002	5.754823e-003
3.995158339930852e-002	2.162963e-002	2.911574e-003
4.004923964930852e-002	-2.114622e-002	-3.092416e-003
4.009806777430851e-002	-4.232834e-002	-5.938198e-003
4.014689589930851e-002	-6.309687e-002	-8.472502e-003
4.019572402430851e-002	-8.325090e-002	-1.054577e-002
4.024455214930851e-002	-1.025978e-001	-1.201627e-002
4.029338027430850e-002	-1.209560e-001	-1.275253e-002
4.034220839930850e-002	-1.381571e-001	-1.263558e-002
4.039103652430850e-002	-1.540487e-001	-1.156107e-002
4.043986464930850e-002	-1.684956e-001	-9.441085e-003
4.048869277430849e-002	-1.813824e-001	-6.205743e-003
4.053752089930849e-002	-1.926144e-001	-1.804530e-003
4.058634902430849e-002	-2.021642e-001	3.762167e-003
4.063024281858450e-002	-2.092596e-001	9.778515e-003
4.067103688333104e-002	-2.144479e-001	1.630308e-002
4.071986500833104e-002	-2.189696e-001	2.520241e-002
4.076869313333104e-002	-2.217726e-001	3.517345e-002
4.081752125833103e-002	-2.228199e-001	4.619472e-002
4.086634938333103e-002	-2.221713e-001	5.817609e-002
4.091517750833103e-002	-2.199079e-001	7.100871e-002
4.096400563333102e-002	-2.161306e-001	8.456650e-002
4.101283375833102e-002	-2.109585e-001	9.870787e-002
4.106166188333102e-002	-2.045271e-001	1.132777e-001
4.111049000833102e-002	-1.969857e-001	1.281098e-001
4.115931813333101e-002	-1.884956e-001	1.430286e-001
4.120814625833101e-002	-1.792273e-001	1.578528e-001
4.125697438333101e-002	-1.693579e-001	1.723971e-001
4.130580250833101e-002	-1.590683e-001	1.864752e-001
4.135463063333100e-002	-1.485407e-001	1.999028e-001
4.140345875833100e-002	-1.379555e-001	2.125002e-001
4.145228688333100e-002	-1.274888e-001	2.240948e-001
4.150111500833099e-002	-1.173100e-001	2.345241e-001
4.154994313333099e-002	-1.075787e-001	2.436378e-001
4.159877125833099e-002	-9.844265e-002	2.513004e-001
4.164759938333099e-002	-9.003587e-002	2.573931e-001
4.169642750833098e-002	-8.247626e-002	2.618159e-001
4.174525563333098e-002	-7.586414e-002	2.644888e-001
4.179408375833098e-002	-7.028085e-002	2.653537e-001
4.184291188333097e-002	-6.578761e-002	2.643747e-001
4.189174000833097e-002	-6.241996e-002	2.615471e-001
4.193975496309024e-002	-6.023395e-002	2.569595e-001
4.198858308809023e-002	-5.915330e-002	2.504907e-001
4.203741121309023e-002	-5.919166e-002	2.422757e-001
4.208623933809023e-002	-6.030979e-002	2.323872e-001
4.213506746309022e-002	-6.244379e-002	2.209266e-001
4.218389558809022e-002	-6.551110e-002	2.080161e-001
4.223272371309022e-002	-6.941193e-002	1.937962e-001
4.228155183809022e-002	-7.403103e-002	1.784241e-001
4.233037996309021e-002	-7.923960e-002	1.620719e-001
4.237920808809021e-002	-8.489755e-002	1.449236e-001
4.242803621309021e-002	-9.085578e-002	1.271734e-001
4.247686433809021e-002	-9.695873e-002	1.090221e-001
4.252569246309020e-002	-1.030469e-001	9.067522e-002
4.257452058809020e-002	-1.089596e-001	7.233952e-002
4.262334871309020e-002	-1.145376e-001	5.422048e-002
4.267217683809019e-002	-1.196258e-001	3.651939e-002
4.272100496309019e-002	-1.240756e-001	1.943056e-002
4.276983308809019e-002	-1.277478e-001	3.138680e-003
4.281866121309019e-002	-1.305146e-001	-1.218370e-002
4.286748933809018e-002	-1.322622e-001	-2.637852e-002
4.291631746309018e-002	-1.328920e-001	-3.930434e-002
4.296514558809018e-002	-1.323231e-001	-5.083821e-002
4.301397371309017e-002	-1.304936e-001	-6.087728e-002
4.306280183809017e-002	-1.273614e-001	-6.934013e-002
4.311162996309017e-002	-1.229251e-001	-7.619300e-002
4.315752902421986e-002	-1.175289e-001	-8.108769e-002
4.320635714921985e-002	-1.105046e-001	-8.463617e-002
4.325518527421985e-002	-1.022385e-001	-8.653593e-002
4.330401339921985e-002	-9.277399e-002	-8.679431e-002
4.335284152421984e-002	-8.219443e-002	-8.546633e-002
4.340166964921984e-002	-7.060251e-002	-8.262849e-002
4.345049777421984e-002	-5.811868e-002	-7.837739e-002
4.349932589921984e-002	-4.487952e-002	-7.282817e-002
4.354815402421983e-002	-3.103582e-002	-6.611268e-002
4.359698214921983e-002	-1.675041e-002	-5.837734e-002
4.364581027421983e-002	-2.195820e-003	-4.978083e-002
4.369463839921983e-002	1.244822e-002	-4.049170e-002
4.374346652421982e-002	2.699745e-002	-3.068566e-002
4.379229464921982e-002	4.126576e-002	-2.054297e-002
4.384112277421982e-002	5.506798e-002	-1.024565e-002
