time	V(triangle)	V(vin)
6.450906238958335e-004	3.009338e-001	-9.637504e-001
6.451104572317203e-004	3.010187e-001	-9.558171e-001
6.451416527024825e-004	3.009773e-001	-9.433389e-001
6.451874306266404e-004	3.006695e-001	-9.250277e-001
6.452288414870357e-004	3.003530e-001	-9.084634e-001
6.452789253548839e-004	3.001290e-001	-8.884299e-001
6.453527742638198e-004	3.000510e-001	-8.588903e-001
6.454357650462605e-004	3.001865e-001	-8.256940e-001
6.456414939924136e-004	3.007263e-001	-7.434024e-001
6.458655139725388e-004	3.012222e-001	-6.537944e-001
6.462534136682727e-004	3.018709e-001	-4.986345e-001
6.466404845649337e-004	3.021575e-001	-3.438062e-001
6.470020019221524e-004	3.022378e-001	-1.991992e-001
6.474076444283813e-004	3.022038e-001	-3.694223e-002
6.480987789551362e-004	3.018033e-001	2.395116e-001
6.487928802401070e-004	3.009404e-001	5.171521e-001
6.491114437823485e-004	3.001968e-001	6.445775e-001
6.494016113551965e-004	2.993791e-001	7.606446e-001
6.497366389561204e-004	2.984825e-001	8.946556e-001
6.500000000000013e-004	2.977055e-001	1.000000e+000
6.500026630394847e-004	2.973534e-001	1.000000e+000
6.500079891184514e-004	2.966747e-001	1.000000e+000
6.500186412763832e-004	2.955227e-001	1.000000e+000
6.500325504586197e-004	2.945267e-001	1.000000e+000
6.500519869054294e-004	2.938309e-001	1.000000e+000
6.500673117359988e-004	2.935506e-001	1.000000e+000
6.500879662763425e-004	2.932890e-001	1.000000e+000
6.501117764035006e-004	2.931639e-001	1.000000e+000
6.501464732954505e-004	2.933084e-001	1.000000e+000
6.501790305615436e-004	2.935706e-001	1.000000e+000
6.502218508194681e-004	2.938842e-001	1.000000e+000
6.502867674657350e-004	2.941301e-001	1.000000e+000
6.504166007582704e-004	2.940826e-001	1.000000e+000
6.505321510575698e-004	2.937782e-001	1.000000e+000
6.506585120935968e-004	2.934089e-001	1.000000e+000
6.699631775224941e-004	2.468918e-001	1.000000e+000
6.892678429513913e-004	2.012628e-001	1.000000e+000
7.085725083802886e-004	1.565221e-001	1.000000e+000
7.278771738091858e-004	1.126695e-001	1.000000e+000
7.471818392380831e-004	6.970516e-002	1.000000e+000
7.664865046669803e-004	2.762899e-002	1.000000e+000
7.857911700958776e-004	-1.355900e-002	1.000000e+000
8.004396075958781e-004	-4.427437e-002	1.000000e+000
8.150880450958787e-004	-7.451481e-002	1.000000e+000
8.443849200958798e-004	-1.336001e-001	1.000000e+000
8.736817950958809e-004	-1.908723e-001	1.000000e+000
9.176271075958826e-004	-2.735024e-001	1.000000e+000
9.573518924010302e-004	-3.450334e-001	1.000000e+000
9.620000000000011e-004	-3.532023e-001	1.000000e+000
9.620316631061242e-004	-3.552258e-001	9.873347e-001
9.620949893183704e-004	-3.575109e-001	9.620042e-001
9.621262628558992e-004	-3.577716e-001	9.494948e-001
9.621515808612615e-004	-3.576433e-001	9.393677e-001
9.621852415224313e-004	-3.574323e-001	9.259034e-001
9.622517008856420e-004	-3.569582e-001	8.993196e-001
9.623047082810508e-004	-3.567475e-001	8.781167e-001
9.623681969731009e-004	-3.567476e-001	8.527212e-001
9.624934067528190e-004	-3.570104e-001	8.026373e-001
9.629999036096081e-004	-3.581547e-001	6.000385e-001
9.632581326621086e-004	-3.585553e-001	4.967469e-001
9.635813712305999e-004	-3.587472e-001	3.674515e-001
9.638918014720742e-004	-3.588158e-001	2.432794e-001
9.642063862085118e-004	-3.588162e-001	1.174455e-001
9.648355556813853e-004	-3.585410e-001	-1.342223e-001
9.654167696324188e-004	-3.579367e-001	-3.667079e-001
9.662215039347825e-004	-3.564476e-001	-6.886016e-001
9.662528634123233e-004	-3.563060e-001	-7.011454e-001
9.663155823674049e-004	-3.559863e-001	-7.262329e-001
9.663778089403947e-004	-3.558089e-001	-7.511235e-001
9.665770505942126e-004	-3.553446e-001	-8.308203e-001
9.669055154660593e-004	-3.544025e-001	-9.622062e-001
9.670000000000008e-004	-3.541274e-001	-1.000000e+000
9.670018551356189e-004	-3.538822e-001	-1.000000e+000
9.670055654068567e-004	-3.533906e-001	-1.000000e+000
9.670129859493323e-004	-3.524901e-001	-1.000000e+000
9.670247680173705e-004	-3.514076e-001	-1.000000e+000
9.670411279226084e-004	-3.505265e-001	-1.000000e+000
9.670562189576567e-004	-3.501340e-001	-1.000000e+000
9.670732623439215e-004	-3.498635e-001	-1.000000e+000
9.670919597495921e-004	-3.496487e-001	-1.000000e+000
9.671225849871897e-004	-3.495738e-001	-1.000000e+000
9.671542034295939e-004	-3.497534e-001	-1.000000e+000
9.671897205311541e-004	-3.500467e-001	-1.000000e+000
9.672321519377681e-004	-3.503229e-001	-1.000000e+000
9.673170147509961e-004	-3.505519e-001	-1.000000e+000
9.674405195360947e-004	-3.504110e-001	-1.000000e+000
9.676706357698937e-004	-3.497396e-001	-1.000000e+000
9.894077731577545e-004	-2.961525e-001	-1.000000e+000
1.011144910545615e-003	-2.437114e-001	-1.000000e+000
1.032882047933476e-003	-1.924165e-001	-1.000000e+000
1.054619185321337e-003	-1.422676e-001	-1.000000e+000
1.076356322709198e-003	-9.326485e-002	-1.000000e+000
1.098093460097059e-003	-4.540819e-002	-1.000000e+000
1.119830597484920e-003	1.302372e-003	-1.000000e+000
1.134479034984920e-003	3.220726e-002	-1.000000e+000
1.149127472484921e-003	6.263428e-002	-1.000000e+000
1.178424347484922e-003	1.220842e-001	-1.000000e+000
1.207721222484923e-003	1.797098e-001	-1.000000e+000
1.216347140047371e-003	1.963385e-001	-1.000000e+000
1.224973057609818e-003	2.128219e-001	-1.000000e+000
1.233598975172266e-003	2.291602e-001	-1.000000e+000
1.242224892734713e-003	2.453533e-001	-1.000000e+000
1.250850810297161e-003	2.614012e-001	-1.000000e+000
1.259476727859609e-003	2.773038e-001	-1.000000e+000
1.268102645422056e-003	2.930613e-001	-1.000000e+000
